feature,importance
F1645,7.6774864e-05
F1858,7.2547016e-05
F1932,7.04148e-05
F3057,6.824273e-05
F1527,6.705445e-05
F2487,6.438607e-05
F3800,6.2866915e-05
F2140,5.9356957e-05
F1503,5.6126166e-05
F3717,4.97689e-05
F1704,4.9736176e-05
F3833,4.9263603e-05
F1821,3.8835893e-05
F229,3.638658e-05
F427,3.478866e-05
F2146,3.1573276e-05
F1107,2.7912463e-05
F1497,2.7010114e-05
F2042,1.923533e-05
F1602,1.8484203e-05
F2143,9.608748e-06
F469,5.512794e-06
F34,0.0
F2795,0.0
F1811,0.0
F1655,0.0
F3271,0.0
F1610,0.0
F1815,0.0
F2035,0.0
F1105,0.0
F382,0.0
F89,0.0
F2041,0.0
F3374,0.0
F1855,0.0
F3384,0.0
F3192,0.0
F3444,0.0
F2612,0.0
F2453,0.0
F1062,0.0
F581,0.0
F3034,0.0
F3253,0.0
F3879,0.0
F1071,0.0
F1429,0.0
F1499,0.0
F3180,0.0
F101,0.0
F367,0.0
F1386,0.0
F2626,0.0
F2770,0.0
F622,0.0
F251,0.0
F3212,0.0
F2461,0.0
F3290,0.0
F1536,0.0
F2652,0.0
F1428,0.0
F1538,0.0
F139,0.0
F3005,0.0
F1280,0.0
F3219,0.0
F2661,0.0
F3466,0.0
F1759,0.0
F2665,0.0
F1565,0.0
F3460,0.0
F1896,0.0
F838,0.0
F2815,0.0
F2584,0.0
F2906,0.0
F3361,0.0
F261,0.0
F526,0.0
F2290,0.0
F3190,0.0
F198,0.0
F3891,0.0
F3238,0.0
F570,0.0
F413,0.0
F170,0.0
F2079,0.0
F3314,0.0
F3869,0.0
F1219,0.0
F378,0.0
F2585,0.0
F3173,0.0
F452,0.0
F3329,0.0
F1494,0.0
F3464,0.0
F1496,0.0
F1755,0.0
F2149,0.0
F2496,0.0
F1609,0.0
F1863,0.0
F3492,0.0
F2876,0.0
F3321,0.0
F3465,0.0
F1826,0.0
F423,0.0
F3558,0.0
F1639,0.0
F2464,0.0
F1859,0.0
F3895,0.0
F1322,0.0
F509,0.0
F2547,0.0
F1543,0.0
F2774,0.0
F3018,0.0
F2274,0.0
F1501,0.0
F3218,0.0
F1933,0.0
F3807,0.0
F3916,0.0
F75,0.0
F177,0.0
F141,0.0
F3498,0.0
F2940,0.0
F3251,0.0
F3375,0.0
F3319,0.0
F1657,0.0
F1164,0.0
F1867,0.0
F1641,0.0
F587,0.0
F1969,0.0
F51,0.0
F273,0.0
F3307,0.0
F3651,0.0
F3350,0.0
F3083,0.0
F3138,0.0
F3110,0.0
F263,0.0
F35,0.0
F1707,0.0
F3310,0.0
F375,0.0
F3279,0.0
F1214,0.0
F2864,0.0
F1540,0.0
F2767,0.0
F1615,0.0
F395,0.0
F625,0.0
F2561,0.0
F3601,0.0
F20,0.0
F1393,0.0
F3265,0.0
F3152,0.0
F1412,0.0
F3664,0.0
F2726,0.0
F3184,0.0
F574,0.0
F59,0.0
F1836,0.0
F3016,0.0
F2139,0.0
F962,0.0
F2915,0.0
F265,0.0
F3174,0.0
F1712,0.0
F1286,0.0
F1929,0.0
F1277,0.0
F3255,0.0
F1746,0.0
F1718,0.0
F1752,0.0
F1857,0.0
F1287,0.0
F1102,0.0
